predator_mass	prey_mass
304090	36.691
304090	579.32
310820	8.0733
310820	17.642
310820	9.4127
310820	22.063
310820	16.816
310820	39.84
310820	19.974
310820	19.974
310820	19.974
310820	19.974
310820	19.974
310820	19.974
310820	19.974
310820	19.974
310820	19.974
310820	23.516
310820	23.516
310820	23.516
310820	23.516
310820	27.467
310820	27.467
310820	255.97
310820	274.88
247780	101.23
239120	4.6267
108640	232.39
122770	7.5569
108640	185
142070	376.77
271870	14.019
154550	4.6267
310820	10.704
310820	13.874
310820	13.874
310820	13.874
310820	7.5569
310820	7.5569
310820	22.063
310820	22.063
310820	27.197
310820	27.197
310820	27.197
310820	27.197
310820	27.197
310820	14.019
310820	33.102
310820	16.816
310820	19.974
92543	9.4127
122770	9.4127
225140	0.13011
225140	0.1605
227890	4.6267
304090	16.816
304090	19.974
142070	144.71
356980	517.84
290910	7.5569
310820	337.17
310820	359.87
356980	18.812
356980	315.46
356980	548
415600	4156.4
363720	1942.7
281280	19.974
19124	488.81
310820	10.704
253660	33.102
253660	33.102
253660	33.102
253660	39.84
253660	47.471
253660	200.15
198820	56.058
278120	27.197
278120	27.197
278120	33.102
278120	33.102
278120	33.102
278120	39.84
278120	39.84
278120	39.84
278120	381.91
186450	17.642
186450	22.063
186450	39.84
186450	47.471
253660	39.84
253660	39.84
253660	47.471
233460	27.197
233460	33.102
233460	39.84
233460	39.84
304090	0.37187
233460	33.102
233460	33.102
233460	33.102
239120	19.852
278120	0.011336
278120	0.01942
253660	0.043729
253660	33.102
278120	0.030149
278120	27.197
338730	0.01942
262660	0.01942
262660	73.113
338730	0.01942
338730	0.01942
338730	0.030149
356460	4312.8
32041	1.8519
206490	0.011336
278120	596.82
247780	1802.3
262660	0.01942
294170	294.45
233460	29.073
219700	3.0348
262660	374.37
262660	801.91
167740	43.704
239120	122.6
225140	138.67
198820	176.48
239120	45.422
239120	330.17
239120	51.791
239120	575.1
181650	73.113
239120	96.983
181650	294.45
239120	24.655
239120	38.108
239120	60.842
239120	259.16
239120	43.704
445.91	1.1059
156700	30.193
321100	96.983
338730	0.01942
206490	8.5703
253660	984.5
206490	4.4554
278120	920.75
239120	0.01942
253660	0.030149
253660	1605.2
259640	51.791
278120	0.0056633
244870	195.39
287680	519.49
198820	551.9
294170	39.84
253660	1202.7
32041	2.5897
32041	2.5897
32041	2.5897
32041	3.5075
32041	3.5075
32041	3.5075
32041	4.6267
32041	4.6267
32041	4.6267
32041	4.6267
32041	4.6267
32041	4.6267
32041	4.6267
32041	5.9691
32041	5.9691
32041	5.9691
32041	5.9691
32041	5.9691
32041	5.9691
32041	5.9691
32041	5.9691
32041	5.9691
32041	7.5569
32041	7.5569
32041	7.5569
36806	110.9
37643	3.5075
37643	3.5075
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	9.4127
37643	9.4127
37643	9.4127
37643	9.4127
37643	9.4127
37643	11.559
37643	11.559
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	4.6267
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	5.9691
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	7.5569
37643	9.4127
37643	9.4127
37643	9.4127
37643	9.4127
37643	9.4127
37643	9.4127
37643	9.4127
37643	11.559
37643	11.559
37643	14.019
38492	1.2729
38492	1.8519
38492	1.8519
38492	1.8519
38492	1.8519
38492	1.8519
38492	1.8519
38492	1.8519
38492	1.8519
38492	1.8519
38492	1.8519
38492	1.8519
38492	2.5897
38492	2.5897
38492	2.5897
38492	2.5897
38492	2.5897
38492	2.5897
38492	2.5897
38492	2.5897
38492	2.5897
38492	2.5897
38492	2.5897
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	3.5075
38492	4.6267
38492	4.6267
38492	4.6267
38492	4.6267
38492	4.6267
38492	4.6267
38492	10.704
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	5.9691
38492	13.874
38492	7.5569
38492	7.5569
38492	7.5569
38492	7.5569
38492	7.5569
38492	7.5569
38492	7.5569
38492	7.5569
38492	7.5569
38492	17.642
38492	9.4127
47690	1.8519
47690	2.5897
47690	3.5075
47690	3.5075
47690	3.5075
47690	3.5075
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	4.6267
47690	10.704
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	5.9691
47690	7.5569
64030	17.642
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	7.5569
47690	9.4127
47690	9.4127
47690	9.4127
47690	9.4127
47690	9.4127
47690	9.4127
47690	9.4127
47690	9.4127
47690	9.4127
47690	9.4127
47690	11.559
47690	14.019
47690	19.974
74082	3.5075
74082	3.5075
74082	3.5075
74082	4.6267
74082	5.9691
74082	3.5075
74082	3.5075
74082	3.5075
74082	3.5075
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	5.9691
74082	5.9691
74082	3.5075
74082	3.5075
74082	8.0733
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	4.6267
74082	5.9691
74082	5.9691
74082	5.9691
74082	5.9691
74082	5.9691
74082	7.5569
74082	9.4127
80863	3.5075
80863	3.5075
80863	3.5075
80863	3.5075
80863	3.5075
80863	3.5075
80863	3.5075
80863	3.5075
80863	4.6267
80863	4.6267
80863	4.6267
80863	4.6267
80863	4.6267
80863	4.6267
80863	4.6267
80863	5.9691
80863	5.9691
80863	5.9691
80863	7.5569
80863	7.5569
85121	3.5075
85121	3.5075
85121	4.6267
85121	4.6267
85121	4.6267
85121	4.6267
85121	4.6267
85121	4.6267
85121	4.6267
85121	4.6267
85121	5.9691
85121	5.9691
85121	5.9691
85121	5.9691
85121	5.9691
85121	5.9691
85121	5.9691
85121	5.9691
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	7.5569
85121	9.4127
85121	9.4127
85121	9.4127
85121	9.4127
85121	9.4127
85121	9.4127
85121	9.4127
85121	9.4127
85121	19.974
108640	4.6267
108640	4.6267
108640	4.6267
108640	4.6267
108640	4.6267
108640	4.6267
108640	5.9691
108640	5.9691
108640	5.9691
108640	5.9691
113810	0.06035
113810	3.5075
113810	3.5075
113810	3.5075
113810	3.5075
113810	3.5075
113810	3.5075
113810	3.5075
113810	3.5075
113810	3.5075
113810	4.6267
113810	4.6267
113810	4.6267
113810	4.6267
113810	4.6267
113810	4.6267
113810	4.6267
113810	4.6267
113810	4.6267
113810	4.6267
113810	5.9691
113810	5.9691
117340	3.5075
117340	4.6267
117340	5.9691
117340	5.9691
117340	7.5569
126480	3.5075
126480	3.5075
126480	3.5075
126480	3.5075
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	4.6267
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	5.9691
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	7.5569
126480	14.019
126480	14.019
126480	96.23
126480	4.6267
126480	3.5075
126480	3.5075
126480	3.5075
126480	3.5075
126480	4.6267
126480	4.6267
