;Max_length;Common_length;Source;
Halichoeres claudia;8.8;NA;Fishbase;
Halichoeres cosmetus;13;NA;Fishbase;
Halichoeres cyanocephalus;30;NA;Fishbase;
Halichoeres dimidiatus;NA;NA;Fishbase;
Halichoeres discolor;15;10;Fishbase;
Halichoeres dispilus;25;NA;Fishbase;
Halichoeres garnoti;19.3;NA;Fishbase;
Halichoeres hartzfeldii;18;NA;Fishbase;
Halichoeres hortulanus;27;NA;Fishbase;
Halichoeres insularis;7;NA;Fishbase;
Halichoeres iridis;11.5;NA;Fishbase;
Halichoeres kallochroma;12;NA;Fishbase;
Halichoeres lapillus;14;NA;Fishbase;
Halichoeres leptotaenia;10.4;NA;Fishbase;
Halichoeres leucoxanthus;12;NA;Fishbase;
Halichoeres leucurus;13;NA;Fishbase;
Halichoeres maculipinna;18;NA;Fishbase;
Halichoeres malpelo;15;NA;Fishbase;
Halichoeres margaritaceus;12.5;NA;Fishbase;
Halichoeres marginatus;18;NA;Fishbase;
Halichoeres melanochir;18;NA;Fishbase;
Halichoeres melanotis;13;NA;Fishbase;
Halichoeres melanurus;12;NA;Fishbase;
Halichoeres melas;12.1;NA;Fishbase;
Halichoeres melasmapomus;24;NA;Fishbase;
Halichoeres miniatus;14;NA;Fishbase;
Halichoeres nebulosus;12;NA;Fishbase;
Halichoeres nicholsi;38;20;Fishbase;
Halichoeres nigrescens;14;NA;Fishbase;
Halichoeres notospilus;25.4;15;Fishbase;
Halichoeres orientalis;7.6;NA;Fishbase;
Halichoeres ornatissimus;18;NA;Fishbase;
Halichoeres pallidus;10;NA;Fishbase;
Halichoeres papilionaceus;12;NA;Fishbase;
Halichoeres pardaleocephalus;11.2;NA;Fishbase;
Halichoeres pelicieri;4.9;NA;Fishbase;
Halichoeres penrosei;5.6;NA;Fishbase;
Halichoeres pictus;13;NA;Fishbase;
Halichoeres podostigma;18.5;NA;Fishbase;
Halichoeres poeyi;20;NA;Fishbase;
Halichoeres prosopeion;13;NA;Fishbase;
Halichoeres radiatus;51;40;Fishbase;
Halichoeres raisneri;NA;NA;Fishbase;
Halichoeres richmondi;19;NA;Fishbase;
Halichoeres rubricephalus;10;NA;Fishbase;
Halichoeres salmofasciatus;6.3;NA;Fishbase;
Halichoeres scapularis;20;NA;Fishbase;
Halichoeres semicinctus;38;NA;Fishbase;
Halichoeres signifer;8.2;NA;Fishbase;
Halichoeres socialis;4.7;NA;Fishbase;
Halichoeres solorensis;18;NA;Fishbase;
Halichoeres stigmaticus;12.8;NA;Fishbase;
Halichoeres tenuispinis;13.6;NA;Fishbase;
Halichoeres timorensis;12;NA;Fishbase;
Halichoeres trimaculatus;27;NA;Fishbase;
Halichoeres trispilus;9.5;NA;Fishbase;
Halichoeres vrolikii;13;NA;Fishbase;
Halichoeres zeylonicus;20;NA;Fishbase;
Hemanthias peruanus;45;NA;Fishbase;
Hemanthias signifer;42;NA;Fishbase;
Hemigymnus fasciatus;80;NA;Fishbase;
Hemigymnus melapterus;90;50;Fishbase;
Hemigymnus sexfasciatus;A_verifier;A_verifier;Fishbase;
Hemilutjanus macrophthalmos;50;NA;Fishbase;
Hemitaurichthys multispinosus;20.8;NA;Fishbase;
Hemitaurichthys polylepis;18;NA;Fishbase;
Hemitaurichthys thompsoni;18;NA;Fishbase;
Hemitaurichthys zoster;18;NA;Fishbase;
Heniochus acuminatus;25;15;Fishbase;
Heniochus chrysostomus;18;NA;Fishbase;
Heniochus diphreutes;21;NA;Fishbase;
Heniochus intermedius;18;NA;Fishbase;
Heniochus monoceros;24;NA;Fishbase;
Heniochus pleurotaenia;17;NA;Fishbase;
Heniochus singularius;30;NA;Fishbase;
Heniochus varius;19;NA;Fishbase;
Heteroscarus acroptilus;24;NA;Fishbase;
Hipposcarus harid;75;35;Fishbase;
Hipposcarus longiceps;60;48;Fishbase;
Holacanthus africanus;45;NA;Fishbase;
Holacanthus bermudensis;45;35;Fishbase;
Holacanthus ciliaris;45;30;Fishbase;
Holacanthus clarionensis;20;NA;Fishbase;
Holacanthus limbaughi;25;NA;Fishbase;
Holacanthus passer;35.6;15;Fishbase;
Holacanthus tricolor;35;30;Fishbase;
Hologymnosus annulatus;40;34;Fishbase;
Hologymnosus doliatus;50;38;Fishbase;
Hologymnosus longipes;40;NA;Fishbase;
Hologymnosus rhodonotus;32;NA;Fishbase;
Iniistius aneitensis;24;NA;Fishbase;
Iniistius auropunctatus;12.9;NA;Fishbase;
Iniistius baldwini;20.4;NA;Fishbase;
Iniistius bimaculatus;28.5;NA;Fishbase;
Iniistius celebicus;16.1;NA;Fishbase;
Iniistius cyanifrons;14.9;NA;Fishbase;
Iniistius dea;30;NA;Fishbase;
Iniistius evides;19;NA;Fishbase;
Iniistius geisha;NA;NA;Fishbase;
Iniistius griffithsi;NA;NA;Fishbase;
Iniistius jacksonensis;17.5;NA;Fishbase;
Iniistius javanicus;14.3;NA;Fishbase;
Iniistius melanopus;26;NA;Fishbase;
Iniistius pavo;25;NA;Fishbase;
Iniistius pentadactylus;25;NA;Fishbase;
